service_id,date,exception_type
"TA+e3",20211225,2
"TA+e3",20220101,2
"TA+hp000",20211227,2
"TA+hp000",20211228,2
"TA+hp000",20211230,2
"TA+hp000",20220103,2
"TA+hp000",20220104,2
"TA+hp000",20220106,2
"TA+hp000",20220214,2
"TA+hp000",20220215,2
"TA+hp000",20220217,2
"TA+hp000",20220414,2
"TA+hp000",20220418,2
"TA+hp000",20220419,2
"TA+hp000",20220421,2
"TA+hp000",20220526,2
"TA+hp000",20220606,2
"TA+hp000",20220704,2
"TA+hp000",20220705,2
"TA+hp000",20220707,2
"TA+hp000",20220711,2
"TA+hp000",20220712,2
"TA+hp000",20220714,2
"TA+hp000",20220718,2
"TA+hp000",20220719,2
"TA+hp000",20220721,2
"TA+hp000",20220725,2
"TA+hp000",20220726,2
"TA+hp000",20220728,2
"TA+hp000",20220801,2
"TA+hp000",20220802,2
"TA+hp000",20220804,2
"TA+hp000",20220808,2
"TA+hp000",20220809,2
"TA+hp000",20220811,2
"TA+hp000",20220815,2
"TA+hp000",20220816,2
"TA+hp000",20220818,2
"TA+hp000",20220908,2
"TA+hp000",20221024,2
"TA+hp000",20221025,2
"TA+hp000",20221027,2
"TA+ip000",20211229,2
"TA+ip000",20220105,2
"TA+ip000",20220216,2
"TA+ip000",20220420,2
"TA+ip000",20220706,2
"TA+ip000",20220713,2
"TA+ip000",20220720,2
"TA+ip000",20220727,2
"TA+ip000",20220803,2
"TA+ip000",20220810,2
"TA+ip000",20220817,2
"TA+ip000",20221026,2
"TA+jp000",20211224,2
"TA+jp000",20211231,2
"TA+jp000",20220107,2
"TA+jp000",20220218,2
"TA+jp000",20220415,2
"TA+jp000",20220422,2
"TA+jp000",20220708,2
"TA+jp000",20220715,2
"TA+jp000",20220722,2
"TA+jp000",20220729,2
"TA+jp000",20220805,2
"TA+jp000",20220812,2
"TA+jp000",20220819,2
"TA+jp000",20221028,2
"TA+qV",20211225,1
"TA+qV",20220101,1
"TA+qV",20220415,1
"TA+qV",20220418,1
"TA+qV",20220526,1
"TA+qV",20220606,1
"TA+qV",20220801,1
"TA+qV",20220908,1
"TA+qW",20211213,2
"TA+qW",20211214,2
"TA+qW",20211215,2
"TA+qW",20211216,2
"TA+qW",20211217,2
"TA+qW",20211220,2
"TA+qW",20211221,2
"TA+qW",20211222,2
"TA+qW",20211223,2
"TA+qW",20220110,2
"TA+qW",20220111,2
"TA+qW",20220112,2
"TA+qW",20220113,2
"TA+qW",20220114,2
"TA+qW",20220117,2
"TA+qW",20220118,2
"TA+qW",20220119,2
"TA+qW",20220120,2
"TA+qW",20220121,2
"TA+qW",20220124,2
"TA+qW",20220125,2
"TA+qW",20220126,2
"TA+qW",20220127,2
"TA+qW",20220128,2
"TA+qW",20220131,2
"TA+qW",20220201,2
"TA+qW",20220202,2
"TA+qW",20220203,2
"TA+qW",20220204,2
"TA+qW",20220207,2
"TA+qW",20220208,2
"TA+qW",20220209,2
"TA+qW",20220210,2
"TA+qW",20220211,2
"TA+qW",20220221,2
"TA+qW",20220222,2
"TA+qW",20220223,2
"TA+qW",20220224,2
"TA+qW",20220225,2
"TA+qW",20220228,2
"TA+qW",20220301,2
"TA+qW",20220302,2
"TA+qW",20220303,2
"TA+qW",20220304,2
"TA+qW",20220307,2
"TA+qW",20220308,2
"TA+qW",20220309,2
"TA+qW",20220310,2
"TA+qW",20220311,2
"TA+qW",20220314,2
"TA+qW",20220315,2
"TA+qW",20220316,2
"TA+qW",20220317,2
"TA+qW",20220318,2
"TA+qW",20220321,2
"TA+qW",20220322,2
"TA+qW",20220323,2
"TA+qW",20220324,2
"TA+qW",20220325,2
"TA+qW",20220328,2
"TA+qW",20220329,2
"TA+qW",20220330,2
