from_stop_id,to_stop_id,transfer_type,min_transfer_time
"1401775","8774538","2","120"
"1401852","8774543","2","120"
"8501315","8588665","2","720"
"8592822","8592839","2","300"
"1401842","1401843","2","120"
"1401843","1401842","2","120"
"8501007","8587924","2","540"
"8501007","8593155","2","360"
"8501007","8593169","2","540"
"8501008","8587057","2","300"
"8501008","8592850","2","360"
"8501227","8570000","2","900"
"8501236","8592856","2","300"
"8501236","8592862","2","600"
"8501237","8592864","2","360"
"8501238","8592777","2","420"
"8501238","8592866","2","600"
"8501311","8592876","2","600"
"8501316","8587577","2","420"
"8502056","8592775","2","360"
"8503217","8501021:0:1","2","300"
"8503229","8501011:0:1","2","120"
"8503247","8593076","2","360"
"8503247","8501020:0:1","2","180"
"8503247","8501020:0:2","2","180"
"8503331","8592944","2","240"
"8503332","8592892","2","240"
"8507345","8592708","2","540"
"8507345","8516274:0:1","2","300"
"8507345","8516274:0:2","2","300"
"8507347","8592829","2","540"
"8507347","8592865","2","480"
"8507347","8516273:0:1","2","300"
"8507347","8516273:0:2","2","300"
"8507418","8593087","2","180"
"8530699","8592862","2","240"
"8530700","8587061","2","600"
"8530700","8592900","2","180"
"8530700","8592925","2","300"
"8530701","8592803","2","360"
"8530707","8592777","2","480"
"8530707","8592866","2","360"
"8570000","8501227","2","900"
"8570000","8501030:0:2","2","180"
"8570000","8501030:0:1","2","180"
"8570000","8501030:0:3","2","180"
"8570000","8501030:0:21/22","2","180"
"8570030","8581935","2","120"
"8570030","8501031:0:1","2","180"
"8570030","8501031:0:3","2","180"
"8581935","8570030","2","120"
"8587057","8501008","2","300"
"8587057","8592801","2","300"
"8587057","8592850","2","240"
"8587057","8501008:0:2","2","300"
"8587057","8501008:0:3","2","300"
"8587057","8501008:0:1","2","300"
"8587057","8501008:0:4","2","300"
"8587057","8501008:0:6","2","300"
"8587057","8501008:0:5","2","300"
"8587057","8501008:0:8","2","300"
"8587057","8501008:0:7","2","300"
"8587057","8501008:0:6E-H","2","300"
"8587057","8501008:0:4A-D","2","300"
"8587057","8501008:0:6A-D","2","300"
"8587058","8592917","2","540"
"8587058","8516283:0:1","2","600"
"8587059","8588813","2","240"
"8587061","8530700","2","600"
"8587061","8592883","2","240"
"8587061","8592910","2","240"
"8587062","8592908","2","240"
"8587064","8501012:0:1","2","540"
"8587064","8501012:0:2","2","540"
