route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"91-12-j22-1","881","12a","12a","T",3
"91-12-j22-2","881","12b","12b","T",3
"91-14-j22-1","881","14a","14a","T",3
"91-14-j22-2","881","14b","14b","T",3
"91-15-j22-1","881","15a","15a","T",3
"91-15-j22-2","881","15b","15b","T",3
"91-17-j22-1","881","17a","17a","T",3
"91-17-j22-2","881","17b","17b","T",3
"91-18-j22-1","881","18a","18a","T",3
"91-18-j22-2","881","18b","18b","T",3
"92-10-A-j22-1","881","10a","10a","B",3
"92-10-A-j22-2","881","10b","10b","B",3
"92-11-j22-1","881","11a","11a","B",3
"92-11-j22-2","881","11b","11b","B",3
"92-19-j22-1","881","19a","19a","B",3
"92-19-j22-2","881","19b","19b","B",3
"92-1-j22-1","881","01a","01a","B",3
"92-1-j22-2","881","01b","01b","B",3
"92-20-A-j22-1","881","20a","20a","B",3
"92-20-A-j22-2","881","20b","20b","B",3
"92-21-A-j22-1","881","21a","21a","B",3
"92-21-A-j22-2","881","21b","21b","B",3
"92-22-A-j22-1","881","22a","22a","B",3
"92-22-A-j22-2","881","22b","22b","B",3
"92-23-j22-1","881","23a","23a","B",3
"92-23-j22-2","881","23b","23b","B",3
"92-25-j22-1","881","25a","25a","B",3
"92-25-j22-2","881","25b","25b","B",3
"92-28-j22-1","881","28a","28a","B",3
"92-28-j22-2","881","28b","28b","B",3
"92-2-j22-1","881","02a","02a","B",3
"92-2-j22-2","881","02b","02b","B",3
"92-32-C-j22-1","881","32a","32a","B",3
"92-32-C-j22-2","881","32b","32b","B",3
"92-33-C-j22-1","881","33a","33a","B",3
"92-33-C-j22-2","881","33b","33b","B",3
"92-34-A-j22-1","881","34a","34a","B",3
"92-34-A-j22-2","881","34b","34b","B",3
"92-35-j22-1","881","35a","35a","B",3
"92-35-j22-2","881","35b","35b","B",3
"92-36-D-j22-1","881","36a","36a","B",3
"92-36-D-j22-2","881","36b","36b","B",3
"92-38-A-j22-1","881","38a","38a","B",3
"92-38-A-j22-2","881","38b","38b","B",3
"92-3-A-j22-1","881","03a","03a","B",3
"92-3-A-j22-2","881","03b","03b","B",3
"92-41-A-j22-1","881","41a","41a","B",3
"92-41-A-j22-2","881","41b","41b","B",3
"92-42-j22-1","881","42a","42a","B",3
"92-42-j22-2","881","42b","42b","B",3
"92-43-j22-1","881","43a","43a","B",3
