trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
"903.TA.91-12-j22-1.7.R","24:12:00","24:12:00","8593118-1",1,0,0
"903.TA.91-12-j22-1.7.R","24:14:00","24:14:00","8593112-1",2,0,0
"903.TA.91-12-j22-1.7.R","24:15:00","24:15:00","8592709-1",3,0,0
"903.TA.91-12-j22-1.7.R","24:16:00","24:16:00","8592713-2",4,0,0
"903.TA.91-12-j22-1.7.R","24:18:00","24:18:00","8592706-2",5,0,0
"903.TA.91-12-j22-1.7.R","24:19:00","24:19:00","8592694-2",6,0,0
"903.TA.91-12-j22-1.7.R","24:20:00","24:20:00","8592833-1",7,0,0
"903.TA.91-12-j22-1.7.R","24:22:00","24:22:00","8592778-3",8,0,0
"903.TA.91-12-j22-1.7.R","24:23:00","24:23:00","8592829-2",9,0,0
"903.TA.91-12-j22-1.7.R","24:25:00","24:25:00","8592924-1",10,0,0
"903.TA.91-12-j22-1.7.R","24:25:00","24:25:00","8592910-4",11,0,0
"903.TA.91-12-j22-1.7.R","24:27:00","24:27:00","8587061-10",12,0,0
"903.TA.91-12-j22-1.7.R","24:29:00","24:29:00","8592862-1",13,0,0
"903.TA.91-12-j22-1.7.R","24:30:00","24:30:00","8587387-1",14,0,0
"903.TA.91-12-j22-1.7.R","24:31:00","24:31:00","8592885-4",15,0,0
"903.TA.91-12-j22-1.7.R","24:33:00","24:33:00","8587907-6",16,0,0
"903.TA.91-12-j22-1.7.R","24:34:00","24:34:00","8592887-2",17,0,0
"903.TA.91-12-j22-1.7.R","24:35:00","24:35:00","8592780-2",18,0,0
"903.TA.91-12-j22-1.7.R","24:37:00","24:37:00","8592789-1",19,0,0
"903.TA.91-12-j22-1.7.R","24:38:00","24:38:00","8592669-3",20,0,0
"903.TA.91-12-j22-1.7.R","24:39:00","24:39:00","8592677-3",21,0,0
"903.TA.91-12-j22-1.7.R","24:41:00","24:41:00","8592668-1",22,0,0
"903.TA.91-12-j22-1.7.R","24:42:00","24:42:00","8587437-4",23,0,0
"903.TA.91-12-j22-1.7.R","24:44:00","24:44:00","8592670-1",24,0,0
"903.TA.91-12-j22-1.7.R","24:45:00","24:45:00","8587075-3",25,0,0
"45.TA.91-12-j22-1.3.H","04:40:00","04:40:00","8587075-7",1,0,0
"45.TA.91-12-j22-1.3.H","04:41:00","04:41:00","8592670-2",2,0,0
"45.TA.91-12-j22-1.3.H","04:43:00","04:43:00","8587437-3",3,0,0
"45.TA.91-12-j22-1.3.H","04:44:00","04:44:00","8592668-2",4,0,0
"45.TA.91-12-j22-1.3.H","04:45:00","04:45:00","8592677-2",5,0,0
"45.TA.91-12-j22-1.3.H","04:47:00","04:47:00","8592669-1",6,0,0
"45.TA.91-12-j22-1.3.H","04:48:00","04:48:00","8592789-2",7,0,0
"45.TA.91-12-j22-1.3.H","04:50:00","04:50:00","8592780-4",8,0,0
"45.TA.91-12-j22-1.3.H","04:51:00","04:51:00","8592887-3",9,0,0
"45.TA.91-12-j22-1.3.H","04:52:00","04:52:00","8587907-5",10,0,0
"45.TA.91-12-j22-1.3.H","04:54:00","04:54:00","8592885-5",11,0,0
"45.TA.91-12-j22-1.3.H","04:56:00","04:56:00","8587387-5",12,0,0
"45.TA.91-12-j22-1.3.H","04:56:00","04:56:00","8592862-2",13,0,0
"45.TA.91-12-j22-1.3.H","04:58:00","04:58:00","8587061-1",14,0,0
"45.TA.91-12-j22-1.3.H","04:59:00","04:59:00","8592910-1",15,0,0
"45.TA.91-12-j22-1.3.H","05:00:00","05:00:00","8592924-2",16,0,0
"45.TA.91-12-j22-1.3.H","05:02:00","05:02:00","8592829-1",17,0,0
"45.TA.91-12-j22-1.3.H","05:03:00","05:03:00","8592778-4",18,0,0
"45.TA.91-12-j22-1.3.H","05:05:00","05:05:00","8592833-2",19,0,0
"45.TA.91-12-j22-1.3.H","05:06:00","05:06:00","8592694-1",20,0,0
"45.TA.91-12-j22-1.3.H","05:07:00","05:07:00","8592706-1",21,0,0
"45.TA.91-12-j22-1.3.H","05:09:00","05:09:00","8592713-3",22,0,0
"45.TA.91-12-j22-1.3.H","05:10:00","05:10:00","8592709-3",23,0,0
"45.TA.91-12-j22-1.3.H","05:11:00","05:11:00","8593112-2",24,0,0
"45.TA.91-12-j22-1.3.H","05:13:00","05:13:00","8593118-1",25,0,0
"126.TA.91-14-j22-1.3.H","08:41:00","08:41:00","8508134-2",1,0,0
"126.TA.91-14-j22-1.3.H","08:42:00","08:42:00","8508128-2",2,0,0
"126.TA.91-14-j22-1.3.H","08:43:00","08:43:00","8508130-3",3,0,0
"126.TA.91-14-j22-1.3.H","08:44:00","08:44:00","8508132-1",4,0,0
"126.TA.91-14-j22-1.3.H","08:46:00","08:46:00","8592660-3",5,0,0
"126.TA.91-14-j22-1.3.H","08:47:00","08:47:00","8587386-4",6,0,0
"126.TA.91-14-j22-1.3.H","08:48:00","08:48:00","8592758-1",7,0,0
"126.TA.91-14-j22-1.3.H","08:49:00","08:49:00","8587080-4",8,0,0
"126.TA.91-14-j22-1.3.H","08:50:00","08:50:00","8593027-2",9,0,0
"126.TA.91-14-j22-1.3.H","08:52:00","08:52:00","8587418-6",10,0,0
"126.TA.91-14-j22-1.3.H","08:53:00","08:53:00","8587082-2",11,0,0
"126.TA.91-14-j22-1.3.H","08:55:00","08:55:00","8592995-2",12,0,0
"126.TA.91-14-j22-1.3.H","08:58:00","08:58:00","8587062-1",13,0,0
"126.TA.91-14-j22-1.3.H","09:00:00","09:00:00","8592874-1",14,0,0
"126.TA.91-14-j22-1.3.H","09:02:00","09:02:00","8592906-3",15,0,0
"126.TA.91-14-j22-1.3.H","09:03:00","09:03:00","8587387-3",16,0,0
"126.TA.91-14-j22-1.3.H","09:05:00","09:05:00","8592812-1",17,0,0
"126.TA.91-14-j22-1.3.H","09:08:00","09:08:00","8587057-7",18,0,0
