route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"91-12-j22-1","TA+jp000","903.TA.91-12-j22-1.7.R","Lancy-Bachet"," gare","0",0
"91-12-j22-2","TA+e3","45.TA.91-12-j22-1.3.H","Thônex"," Moillesulaz","1",2
"91-14-j22-1","TA+qV","126.TA.91-14-j22-1.3.H","Meyrin"," Gravière","0",1783
"91-14-j22-2","TA+jp000","1058.TA.91-14-j22-1.6.R","Bernex"," Vailly","1",1786
"91-15-j22-1","TA+qV","895.TA.91-15-j22-1.11.R","Grand-Lancy"," Place du 1er-Août","0",3677
"91-15-j22-2","TA+qV","39.TA.91-15-j22-1.6.H","Genève"," Nations","1",3676
"91-17-j22-1","TA+qV","442.TA.91-17-j22-1.13.R","Lancy-Pont-Rouge"," gare","0",5401
"91-17-j22-2","TA+e3","8.TA.91-17-j22-1.5.H","Annemasse"," Parc Montessuit","1",5402
"91-18-j22-1","TA+qV","596.TA.91-18-j22-1.15.R","Grand-Lancy"," Pontets","0",6246
"91-18-j22-2","TA+qW","92.TA.91-18-j22-1.8.H","Meyrin"," CERN","1",6245
"92-10-A-j22-1","TA+qW","62.TA.92-10-A-j22-1.3.H","Genève"," Rive","0",7260
"92-10-A-j22-2","TA+qW","517.TA.92-10-A-j22-1.6.R","Genève-Aéroport"," Terminal","1",7701
"92-11-j22-1","TA+qV","10.TA.92-11-j22-1.2.H","Genève-Eaux-Vives"," gare","0",8213
"92-11-j22-2","TA+qV","582.TA.92-11-j22-1.4.R","Genève"," Jardin Botanique","1",8215
"92-19-j22-1","TA+qV","180.TA.92-19-j22-1.4.H","Onex"," cité","0",9507
"92-19-j22-2","TA+jp000","708.TA.92-19-j22-1.7.R","Vernier"," village","1",9355
"92-1-j22-1","TA+qV","830.TA.92-1-j22-1.6.R","Thônex"," Hôpital Trois-Chêne","0",10488
"92-1-j22-2","TA+qV","279.TA.92-1-j22-1.3.H","Genève"," Jardin Botanique","1",10485
"92-20-A-j22-1","TA+qV","4.TA.92-20-A-j22-1.2.H","Bellevue GE"," Valavran","0",11587
"92-20-A-j22-2","TA+qV","341.TA.92-20-A-j22-1.3.R","Genève"," Place de Neuve","1",11856
"92-21-A-j22-1","TA+ip000","1.TA.92-21-A-j22-1.1.H","Carouge GE"," Rondeau","0",12259
"92-21-A-j22-2","TA+qW","396.TA.92-21-A-j22-1.2.R","Onex"," cité","1",12588
"92-22-A-j22-1","TA+e3","14.TA.92-22-A-j22-1.3.H","Plan-les-Ouates"," ZIPLO","0",13048
"92-22-A-j22-2","TA+qV","432.TA.92-22-A-j22-1.8.R","Genève"," Jardin Botanique","1",13394
"92-23-j22-1","TA+ip000","383.TA.92-23-j22-1.2.R","Grand-Saconnex"," Aéroport-P47","0",14168
"92-23-j22-2","TA+e3","1.TA.92-23-j22-1.1.H","Carouge GE"," Tours","1",13853
"92-25-j22-1","TA+qW","537.TA.92-25-j22-1.2.R","Thônex"," Vallard","0",14632
"92-25-j22-2","TA+qW","1.TA.92-25-j22-1.1.H","Genève"," Jardin Botanique","1",14629
"92-28-j22-1","TA+e3","409.TA.92-28-j22-1.3.R","Genève-Aéroport"," Terminal","0",16040
"92-28-j22-2","TA+qV","1.TA.92-28-j22-1.1.H","Petit-Lancy"," Les Esserts","1",15702
"92-2-j22-1","TA+qW","224.TA.92-2-j22-1.7.H","Confignon"," Cressy","0",16740
"92-2-j22-2","TA+qV","747.TA.92-2-j22-1.11.R","Genève"," plage","1",16515
"92-31-B-j22-1","TA+e3","238.TA.92-31-B-j22-1.3.R","Thônex"," Sous-Moulin","0",17821
"92-31-B-j22-2","TA+e3","5.TA.92-31-B-j22-1.2.H","Puplinge"," Marquis","1",17667
