stop_name,routes,stop_lon,stop_lat
"Fillion","41 (41 (Carouge-Tours))",6.14522189928122,46.17785562420318
"Genève-Champel-Gare/Peschier","01,05 (01 (Hôpital Trois-Chêne),05 (Thônex-Vallard))",6.154713654864082,46.19451213910595
"Curé-Baud","42,22 (42 (Lully-Croisée),22 (ZIPLO))",6.117279972856825,46.17648737082916
"Bellevue-Mairie","52 (52 (Genthod-le-Haut))",6.154717479350306,46.2546020865128
"Bellevue-Mollies","52 (52 (Bossy/Bois-Chatton))",6.152081447614348,46.25254361224783
"Prulay","57,NA (57 (ZIMEYSA-Gare),NA (CERN/Sergy-Centre))",6.07495621048289,46.23193464977138
"Communes-Réunies","46,D,62 (46 (Stade de Genève),D (Bel-Air),62 (Collonges-Marché))",6.123671921192705,46.17122426160981
"Casino","M (M (Collonges-Bourg d'en Haut))",6.091015531021374,46.12762925380481
"Centre sportif du Blanché","50,53,NT (50 (Versoix-Centre sportif),53 (Grand-Saconnex-Place/Valavran),NT (Bogis-Bossey))",6.128509088970733,46.24095979059061
"Charrot","46,C6 (46 (Stade de Genève),C6 (Grange-Collomb))",6.118985194197562,46.14772617582134
"Trembley","03 (03 (Crêts-de-Champel))",6.126504750389873,46.21764834805946
"Eaumorte-Croisée","J (J (Stade de Genève))",6.024881288692241,46.16629060273493
"Muséum","01,08 (01 (Hôpital Trois-Chêne),08 (Appia/OMS))",6.157336597765221,46.19860180519633
"Peney-Dessus","73 (73 (Bois-de-Bay/Satigny-Gare))",6.036914259730131,46.20030843718282
"Tougin-Hôpital","F (F (Gare Cornavin))",6.056694146650723,46.32495691565688
"Ecole-de-Médecine","NC,01,35 (NC (Vernier-Village/La Plaine-Gare),01 (Hôpital Trois-Chêne),35 (Beau-Séjour))",6.139347010129806,46.19754882868114
"Puplinge-Mairie","C3,37,NK,86,31 (C3 (Jussy-Meurets),37 (Lullier),NK (Jussy-Meurets/Monniaz-Hameau),86 (Presinge-Village),31 (Puplinge-Marquis))",6.232219129155848,46.2110065399116
"Vésenaz-Californie","39 (39 (Pointe à la Bise))",6.209484989313251,46.2404441349852
"Mollaz","76,L (76 (La Plaine-Gare),L (Confignon-Croisée))",6.033834905547565,46.15427272394608
"Bois-Gourmand","08 (08 (Appia/OMS))",6.172473581752284,46.17236180542016
"Bois-des-Frères","A1,23,A6,06,19 (A1 (Fret),23 (Aéroport-P47),A6 (Fret),06 (Vernier-Village),19 (Vernier-Village))",6.104914924872135,46.21251982611981
"Signal","NC (NC (Cirque))",6.088579462962827,46.21984220345937
"Sous Pressy","A,38 (A (Rive),38 (Place Favre))",6.209716788047212,46.22708620138673
"Jonction","NC,NJ,11,D,14 (NC (Vernier-Village/La Plaine-Gare),NJ (Rive),11 (Jardin Botanique),D (Bel-Air),14 (Meyrin-Gravière))",6.12999969497735,46.20101292239657
"Krieg","08,08 (08 (Appia/OMS),08 (Appia/OMS))",6.160855268388642,46.19387202961536
"Les Oulaines","48 (48 (Confignon-Croisée))",6.079438200841613,46.16861126142298
"Moulin-de-Richelien","55 (55 (Bossy))",6.137524765308399,46.28088598688004
"Gy-Temple","A,A,NP (A (Rive),A (Rive),NP (Anières-Mairie))",6.25793063239948,46.25251284381959
"Collège du Léman","50,54,55 (50 (Genève-Aéroport-Terminal),54 (Genève-Aéroport-Terminal),55 (Bossy))",6.156224113729561,46.29065205407239
"Vernier-Marché","C8,53,06,19,73 (C8 (CO Renard),53 (Grand-Saconnex-Place/Valavran),06 (Genève-Plage),19 (Onex-Cité),73 (Vernier-Village/ZIMEYSA-Gare))",6.082037334578828,46.21523857589138
"Bout-du-Monde","07,11,NO (07 (Lignon-Tours),11 (Jardin Botanique),NO (Veryrier-Tournettes/Bardonnex))",6.156704975630585,46.18230156020495
"Valleiry-Gare","N,N (N (Valleiry-Gare),N (Valleiry-Gare))",5.968483487319825,46.10961379481946
"Maison-Rouge","NC,72 (NC (Vernier-Village/La Plaine-Gare),72 (Satigny-Gare))",6.018879614839546,46.20606766006195
"Céligny-Gare","ND (ND (Gland-Gare))",6.199897536368813,46.34809662560534
"Avully-Village","NJ,78,K (NJ (Chancy-Douane),78 (Chancy-Douane),K (Chancy-Douane/Pougny-Gare))",6.00106424928645,46.16954224307604
"Chêne-Bougeries","34 (34 (Chevrier))",6.189536438447203,46.19733036313021
"Rieu","25,05 (25 (Jardin Botanique),05 (Genève-Aéroport-Terminal))",6.166690548655271,46.19618332458804
"Plainpalais","01,A6 (01 (Jardin-Botanique),A6 (Fret))",6.14357123340606,46.19767440909797
"La Salésienne","08 (08 (Appia/OMS))",6.18019868257462,46.16834095783771
"Léonard-Sismondi","34 (34 (Veyrier-Tournettes))",6.195366711516773,46.20165899552792
"Prévessin-Les Aglands","64 (64 (Meyrin-Gravière))",6.06788416161012,46.25453392928339
"Eglise Russe","36 (36 (Place de Neuve))",6.152798094645949,46.19842842432383
"Giacometti","03 (03 (Crêts-de-Champel))",6.119591857893236,46.22726746841309
"Varembé","F,20 (F (Gare Cornavin),20 (Place de Neuve))",6.140143470984697,46.22101925795124
"Plainpalais","15,NM,17 (15 (Palettes),NM (Avusy-Village),17 (Lancy-Pont-Rouge-Gare))",6.141958968979869,46.19829360992781
"Vollandes","G,E (G (Veigy-Douane/Veigy-Village),E (Hermance-Village))",6.159091496564344,46.20612297779423
"Rue Carrée","NC,73 (NC (Vernier-Village/La Plaine-Gare),73 (Bois-de-Bay/Satigny-Gare))",6.061946380099008,46.19844561728445
"Voirets","42,22 (42 (Lully-Croisée),22 (ZIPLO))",6.114500284954723,46.17416056360779
"Chêne-Bourg-Gare-Place","37,38,31 (37 (Lullier),38 (Hermance-Village/Chens-sur-Léman),31 (Puplinge-Marquis))",6.194400173032943,46.19713325962032
"Saint-Julien-Lathoy hameau","M (M (Beaumont le Châble))",6.104498767686991,46.14146191113297
"Les Bougeries","33,NP,34 (33 (Puplinge-Marquis),NP (Anières-Mairie),34 (Chevrier))",6.214888902786916,46.21876491894521
"Tunnel Routier","F,NE (F (Ferney-Mairie/Gex-L'Aiglette),NE (Gex-Centre))",6.123425523866391,46.24400918570518
"Bernex-Luchepelet","J,K,70 (J (Avusy-Village),K (Chancy-Douane/Pougny-Gare),70 (Satigny-Gare))",6.072969575806662,46.17790096199629
"Perle du Lac","01,25 (01 (Jardin-Botanique),25 (Jardin Botanique))",6.150020855770298,46.22056109483285
"P+R P47","F (F (Gare Cornavin))",6.123207644646818,46.23984185326685
"Laconnex-Stand de tir","76,L (76 (La Plaine-Gare),L (Confignon-Croisée))",6.037912774172322,46.15883788597181
"Gex-Georges Charpak","F (F (Gare Cornavin))",6.065816885236171,46.33508083245251
"Cartigny-Village","NJ,J (NJ (Chancy-Douane),J (Avusy-Village))",6.02002019427565,46.17290527089237
"Confignon-Mairie","48 (48 (Confignon-Croisée))",6.08447710254559,46.17327499088329
"Vandoeuvres-Village","33,NP,38 (33 (Puplinge-Marquis),NP (Anières-Mairie),38 (Place Favre))",6.203084137624156,46.22131166533393
"Uni-Mail","A1,A6,35 (A1 (Fret),A6 (Fret),35 (Sainte-Clotilde))",6.140908692482156,46.19521230699888
"Challex-La Halle","T,T (T (La Plaine-Gare),T (La Plaine-Gare))",5.97373079125524,46.18248032055015
"Mategnin","64 (64 (Meyrin-Gravière))",6.087068602063703,46.2401273984129
"Place de Neuve","20,20 (20 (Place de Neuve),20 (Place de Neuve))",6.14372520573561,46.2010707982695
"Onex-Salle communale","02 (02 (Cressy))",6.09879205371112,46.18351005862553
"Bouleaux","C8,53,73 (C8 (CO Renard),53 (Grand-Saconnex-Place/Valavran),73 (Vernier-Village/ZIMEYSA-Gare))",6.07402470948859,46.21006374040998
"Certoux","42 (42 (Carouge-Rondeau))",6.081612690601783,46.15596359353112
"Pregny-Mairie","20,ND (20 (Valavran),ND (Gland-Gare))",6.141303709866703,46.23743452826205
"Manufactures","42 (42 (Carouge-Rondeau))",6.10577464973199,46.1647602670202
"Printanière","78,77 (78 (Chancy-Douane),77 (Sézegnin-Mairie d'Avusy))",6.005514060942109,46.17344297348816
"Grand-Champ","51,NC,28,A4,07 (51 (Mervelet),NC (Vernier-Village/La Plaine-Gare),28 (Genève-Aéroport-Terminal),A4 (Fret),07 (Lignon-Tours))",6.101230697259756,46.20284148794482
"Onex-Bois Carrien","19,21 (19 (Onex-Cité),21 (Onex-Cité))",6.100122388192008,46.19111194509134
"Chemin Vert","45 (45 (Troinex-Ville))",6.140697670301393,46.17349640357548
"Combettes","45 (45 (Carouge-Tours))",6.143702544280016,46.16991106332791
"Les Bouveries","NJ,78,K (NJ (Chancy-Douane),78 (Chancy-Douane),K (Chancy-Douane/Pougny-Gare))",5.97526560951705,46.15135928908276
"Repentance","G,38 (G (Rive),38 (Place Favre))",6.223338228963195,46.25523866995409
"Compesières","NO (NO (Veryrier-Tournettes/Bardonnex))",6.121967794290245,46.15071734067591
"Le Roulave","74 (74 (La Plaine-Gare))",5.981049564485316,46.20133626607137
"Saint-Genis-Champ-Fusy","68 (68 (CERN/Blandonnet))",6.028029451892771,46.24636306455263
"Massettes","53 (53 (Grand-Saconnex-Place/Valavran))",6.11379901719234,46.22356681821864
"Chemin des Fours","NS,A,C1 (NS (Hermance-Village),A (Gy-Temple),C1 (CO Bois-Caran))",6.18341416303915,46.21752815497325
"Pontets","23,NM,42 (23 (Aéroport-P47),NM (Avusy-Village),42 (Lully-Croisée))",6.123191429912184,46.1732727754382
"Pré-Jardinier","C6 (C6 (Grange-Collomb))",6.126588554368946,46.16277686280449
"Vernier-Gare/Renfile","A1,57,56,53,A4,23,A6 (A1 (Fret),57 (Genève-Aéroport-Terminal),56 (Genève-Aéroport-Terminal),53 (Grand-Saconnex-Place/Valavran),A4 (Fret),23 (Aéroport-P47),A6 (Fret))",6.095918668363273,46.21920298308249
"Chemin de la Douane","L (L (Confignon-Croisée))",6.044209991939717,46.161497483654
"Chemin du Paradis","NC,72 (NC (Vernier-Village/La Plaine-Gare),72 (Satigny-Gare))",6.023047495802697,46.2133006529663
"Les Mévaux","39 (39 (Presinge-Village))",6.265552761391821,46.22992084388164
"Bernex-P+R","14 (14 (Bernex-Vailly))",6.081522551622901,46.1794812585362
"Châtelaine","51,NC,06,19,22 (51 (Mervelet),NC (Cirque),06 (Genève-Plage),19 (Onex-Cité),22 (Jardin Botanique))",6.112626518736923,46.2111368593953
"Croix-de-Rozon-Douane","44,M,M,62 (44 (Croix-de-Rozon-Douane),M (Beaumont le Châble),M (Beaumont le Châble),62 (Collonges-Marché))",6.137480071810599,46.14429584135321
"Croix d'Ambilly","17 (17 (Lancy-Pont-Rouge-Gare))",6.222904794278334,46.19241787481586
"Genthod-Rennex","52 (52 (Bossy/Bois-Chatton))",6.149981742640455,46.26760321808769
"Loëx-Hôpital","43,43 (43 (Vallet/Loëx-Hôpital),43 (Vallet/Loëx-Hôpital))",6.085804535023695,46.19880263259555
"Sous-Moulin","37,37,32,32,31,31 (37 (Lullier),37 (Lullier),32 (Sous-Moulin),32 (Sous-Moulin),31 (Puplinge-Marquis),31 (Puplinge-Marquis))",6.191816465885339,46.19010126839265
"Cornière","C3,37,NK (C3 (Jussy-Meurets),37 (Lullier),NK (Jussy-Meurets/Monniaz-Hameau))",6.240499086298907,46.20833205062721
"La Chapelle","C6 (C6 (Bardonnex))",6.135519843162711,46.17057817980457
"Arare","D (D (Bel-Air))",6.111493369321636,46.16541477225
"Nant-Malet","46 (46 (Stade de Genève))",6.122866605019212,46.1657472280323
"Battelle","41 (41 (Carouge-Tours))",6.139362898252972,46.1789322135507
"Nant-de-Crève-Coeur","54 (54 (Versoix-Centre sportif))",6.160951580370062,46.27466021930073
"Grand-Pré","03,NE (03 (Gardiol),NE (Gex-Centre))",6.130271403469509,46.21624762797619
"Route de Lullier","C3,86 (C3 (Malagnou),86 (Presinge-Village))",6.248997311931338,46.22575301052333
"Lancy-Bachet-Gare","62 (62 (Collonges-Marché))",6.129363276940118,46.17371904138273
"Essertet","N (N (Lycée De Staël))",6.017454198904211,46.11462272994289
"Troinex-Mairie","NO,45 (NO (Veryrier-Tournettes/Bardonnex),45 (Troinex-Ville))",6.148488811163101,46.16040418019529
"Prévessin-Collège Le Joran","64,66 (64 (Meyrin-Gravière),66 (Genève-Aéroport-Terminal))",6.072910128248024,46.25557364300242
"Machéry","59,20,ND (59 (Genève-Aéroport-Terminal),20 (Valavran),ND (Gland-Gare))",6.129717897194313,46.24385028934503
"Stand","01,15 (01 (Jardin-Botanique),15 (Nations))",6.139935752724377,46.20397120616349
"Chambésy-Fontaine","59 (59 (Plage du Vengeron))",6.141000425115744,46.24370415121505
"Genève-Aéroport-Terminal","59,23,66 (59 (Genève-Aéroport-Terminal),23 (Carouge-Tours),66 (Ferney-Mairie/Thoiry-Centre commercial))",6.110505219295132,46.23117937110133
"Bessinge","A,C1 (A (Rive),C1 (Place des Eaux-Vives))",6.191988356672042,46.22459789824799
"Sauverny-Douane","55 (55 (Bossy))",6.12045378548072,46.31138840274094
"Libellules","51 (51 (CO Renard))",6.107630774834568,46.20861156203587
"Avully-Ecole","NJ,77,K (NJ (Chancy-Douane),77 (La Plaine-Gare),K (Chancy-Douane/Pougny-Gare))",6.005234166521248,46.16716084867733
"Hôpital Trois-Chêne","NK,34,31 (NK (Jussy-Meurets/Monniaz-Hameau),34 (Veyrier-Tournettes),31 (Sous-Moulin))",6.21464338716738,46.20903000374157
"Bernex-Guillon","NJ,48,L (NJ (Chancy-Douane),48 (Confignon-Croisée),L (Athenaz-Ecole))",6.060775727524968,46.172225826999
"Montagne","01,34,09 (01 (Jardin-Botanique),34 (Veyrier-Tournettes),09 (Lignon-Tours))",6.199405781656605,46.20468289087533
"Colladon","03 (03 (Crêts-de-Champel))",6.123745905828937,46.22298203710756
"Saint-Genis-CERN Alice","68 (68 (CERN/Blandonnet))",6.02577454867671,46.25087238316909
"Carre-d'Amont","A,NP (A (Gy-Temple),NP (Anières-Mairie))",6.217178266034655,46.23624187341042
